sample_id,external_case_id,clip_id,source_split_label,model_state_id,state_row_index,source_dice,tent1_dice,tent1_delta_dice,tent1_adaptation_outcome,tent1_harm_label,tent1_benefit_label,pl_dice,pl_delta_dice,pl_adaptation_outcome,pl_harm_label,pl_benefit_label,frozen_safety_probability,frozen_operating_threshold,frozen_risk_flag,model_family,training_seed,checkpoint_sha256,cluster_id
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0123,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,0,0.0,0.6465116279069767,0.6465116279069767,BENEFIT,0,1,0.0,0.0,NEUTRAL,0,0,0.2883246160554308,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0023,SUNSEG_case10,case10_1,Hard-Unseen,DeepLabV3-R50__seed20260817,1,0.0,0.9402635195214615,0.9402635195214615,BENEFIT,0,1,0.0,0.0,NEUTRAL,0,0,0.022256967305288,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a23_ayy_image0013,SUNSEG_case10,case10_1,Hard-Unseen,DeepLabV3-R50__seed20260817,2,0.0,0.692079207920792,0.692079207920792,BENEFIT,0,1,0.4762063227953411,0.4762063227953411,BENEFIT,0,1,0.0184428559932012,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0109,SUNSEG_case10,case10_1,Hard-Unseen,DeepLabV3-R50__seed20260817,3,0.0,0.5015036814269418,0.5015036814269418,BENEFIT,0,1,0.0,0.0,NEUTRAL,0,0,0.0187658640202656,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a23_ayy_image0035,SUNSEG_case10,case10_1,Hard-Unseen,DeepLabV3-R50__seed20260817,4,0.9003639672429481,0.8882306027116327,-0.012133364531315416,NEUTRAL,0,0,0.885577930392271,-0.014786036850677142,NEUTRAL,0,0,0.6195818428400871,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0064,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,5,0.8757327605495144,0.7488792644935796,-0.12685349605593488,HARM,1,0,0.8645837923588772,-0.011148968190637265,NEUTRAL,0,0,0.3170284304854944,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0118,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,6,0.8235294117647058,0.8288734720845722,0.0053440603198663394,NEUTRAL,0,0,0.8278605850050431,0.004331173240337272,NEUTRAL,0,0,0.1692334324807776,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0197,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,7,0.8331297621124877,0.8488589599700711,0.01572919785758342,NEUTRAL,0,0,0.8233806540605781,-0.009749108051909539,NEUTRAL,0,0,0.2626840084997852,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0055,SUNSEG_case10,case10_1,Hard-Unseen,DeepLabV3-R50__seed20260817,8,0.8952128833002426,0.8922912205567451,-0.0029216627434974773,NEUTRAL,0,0,0.8878346323280244,-0.0073782509722182255,NEUTRAL,0,0,0.5906374076581699,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0148,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,9,0.9530908015380065,0.7017215416547963,-0.25136925988321024,HARM,1,0,0.9481375868829086,-0.004953214655097904,NEUTRAL,0,0,0.2426039646892156,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
