stage_id,resolved,path,expected_gate,gate_found
FinalB3_MRI,True,F:\MEDSEG_SAFETTA\FinalB3_mri_action_specific_outcome_and_future_harm_v1,PASS_FINALB3_MRI_ACTION_OUTCOME_AND_FUTURE_HARM_EVALUATION_COMPLETE,True
B6_P01A_MRI_ATTRIBUTION,True,F:\MEDSEG_SAFETTA\B6_P01A_mri_matched_representation_attribution_v1,,True
B6_P01B_POLYPGEN_ATTRIBUTION,True,F:\MEDSEG_SAFETTA\B6_P01B_polypgen_geometry_core_experiment_v1_fix5,PASS_B6_P01B_POLYPGEN_GEOMETRY_CORE_EXPERIMENT_COMPLETE,True
B6_P02_POLYPGEN_UTILITY,True,F:\MEDSEG_SAFETTA\B6_P02_polypgen_exact50_utility_v1,PASS_B6_P02_POLYPGEN_EXACT50_UTILITY_COMPLETE,True
B6_P02B_POLYPGEN_ABSOLUTE,True,F:\MEDSEG_SAFETTA\B6_P02B_polypgen_exact50_absolute_references_v1,PASS_B6_P02B_POLYPGEN_EXACT50_ABSOLUTE_REFERENCES,True
B6_P03_MRI_ROBUSTNESS,True,F:\MEDSEG_SAFETTA\B6_P03_mri_empty_foreground_sourcequality_robustness_v1,,True
B6_P05B_RUNTIME,True,F:\MEDSEG_SAFETTA\B6_P05B_runtime_scope_reporting_audit_v1,PASS_B6_P05B_RUNTIME_SCOPE_REPORTING_AUDIT,True
B6_P06B_MRI_PATIENT_UTILITY,True,F:\MEDSEG_SAFETTA\B6_P06B_mri_transition_patient_utility_execution_v1_fix1,PASS_B6_P06B_MRI_TRANSITION_PATIENT_UTILITY_COMPLETE,True
B6_P07B_MARGIN_SENSITIVITY,True,F:\MEDSEG_SAFETTA\B6_P07B_fixed_score_harm_margin_sensitivity_v1,PASS_B6_P07B_FIXED_SCORE_HARM_MARGIN_SENSITIVITY_COMPLETE,True
B6_P08B_STATISTICAL_CLOSURE,True,F:\MEDSEG_SAFETTA\B6_P08B_final_statistical_closure_v1,PASS_B6_P08B_FINAL_STATISTICAL_CLOSURE_COMPLETE,True
