dataset,path,signal_hit_count,examples
Prostate158,code/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix2.py,40,"L14:- t2_anatomy_reader1 || L15: || L16:Fix2 therefore resolves the SOURCE image/label pair from those official CSV || L17:manifests, then verifies file existence and exact image/label geometry. || L18: ### L39:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L40: || L41:CM1_DIR = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" || L42:CM1_LOCK = CM1_DIR / ""CM1_PROSTATE_MRI_SCHEMA_LOCK.json"" || L43:EXPECTED_CM1_LOCK_SHA = ( ### L54: || L55:DECISION_PASS = ( || L56:""SOURCE_T2_SERIES_AND_SLICE_SAMPLE_UNIT_LOCKED_READY_FOR_CM2B_PREPROCESSING_LOCK"" || L57:) || L58: ### L152: || L153: || L154:def load_official_source_manifest(): || L155:print(""\n===== PROSTATE158 OFFICIAL CSV MANIFEST RESOLUTION ====="") || L156: ### L228:dup = out[out[""case_key""].duplicated(keep=False)] || L229:raise RuntimeError( || L230:""Official source manifest case IDs are not unique:\n"" || L231:+ dup.to_string(index=False) || L232:) ### L245: || L246: || L247:def verify_source_geometry_and_slices(nib, manifest: pd.DataFrame): || L248:print(""\n===== PROSTATE158 OFFICIAL IMAGE/LABEL GEOMETRY AUDIT ====="") || L249: ### L280:if any(v not in (0, 1, 2) for v in vals): || L281:raise RuntimeError( || L282:f""{r.case_key}: unexpected source label values {vals}"" || L283:) || L284: ### L310:""slice_axis"": 2, || L311:""n_slices"": n_slices, || L312:""n_source_gt_positive_slices"": n_positive, || L313:""n_source_gt_empty_slices"": n_slices - n_positive, || L314:""whole_gland_rule"": ""annotation > 0"","
Prostate158,code/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3.py,39,"L14:- t2_anatomy_reader1 || L15: || L16:Fix2 therefore resolves the SOURCE image/label pair from those official CSV || L17:manifests, then verifies file existence and exact image/label geometry. || L18: ### L39:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L40: || L41:CM1_DIR = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" || L42:CM1_LOCK = CM1_DIR / ""CM1_PROSTATE_MRI_SCHEMA_LOCK.json"" || L43:EXPECTED_CM1_LOCK_SHA = ( ### L54: || L55:DECISION_PASS = ( || L56:""SOURCE_T2_SERIES_AND_SLICE_SAMPLE_UNIT_LOCKED_READY_FOR_CM2B_PREPROCESSING_LOCK"" || L57:) || L58: ### L152: || L153: || L154:def load_official_source_manifest(): || L155:print(""\n===== PROSTATE158 OFFICIAL CSV MANIFEST RESOLUTION ====="") || L156: ### L232:dup = out[out[""case_key""].duplicated(keep=False)] || L233:raise RuntimeError( || L234:""Official source manifest case IDs are not unique:\n"" || L235:+ dup.to_string(index=False) || L236:) ### L249: || L250: || L251:def verify_source_geometry_and_slices(nib, manifest: pd.DataFrame): || L252:print(""\n===== PROSTATE158 OFFICIAL IMAGE/LABEL GEOMETRY AUDIT ====="") || L253: ### L284:if any(v not in (0, 1, 2) for v in vals): || L285:raise RuntimeError( || L286:f""{r.case_key}: unexpected source label values {vals}"" || L287:) || L288: ### L314:""slice_axis"": 2, || L315:""n_slices"": n_slices, || L316:""n_source_gt_positive_slices"": n_positive, || L317:""n_source_gt_empty_slices"": n_slices - n_positive, || L318:""whole_gland_rule"": ""annotation > 0"","
Prostate158,code/Q1X_CM2A_prostate158_t2_geometry_resolver_and_slice_preflight_fix1.py,40,"L10:------- || L11:1) Gate the exact CM1 Fix3 lock. || L12:2) Resolve the exact Prostate158 SOURCE T2 volume for each of 139 cases using || L13:SOURCE annotation geometry only. || L14:3) Do NOT use filename heuristics to break ties. ### L11:1) Gate the exact CM1 Fix3 lock. || L12:2) Resolve the exact Prostate158 SOURCE T2 volume for each of 139 cases using || L13:SOURCE annotation geometry only. || L14:3) Do NOT use filename heuristics to break ties. || L15:4) Audit SOURCE slice counts / positive-slice distribution. ### L13:SOURCE annotation geometry only. || L14:3) Do NOT use filename heuristics to break ties. || L15:4) Audit SOURCE slice counts / positive-slice distribution. || L16:5) Build a PROMISE12 image-only axial-slice manifest from image MHD headers || L17:without opening reference-mask RAW payloads. ### L42:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L43: || L44:CM1_DIR = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" || L45:CM1_LOCK = CM1_DIR / ""CM1_PROSTATE_MRI_SCHEMA_LOCK.json"" || L46:EXPECTED_CM1_LOCK_SHA = ( ### L57: || L58:DECISION_PASS = ( || L59:""SOURCE_T2_SERIES_AND_SLICE_SAMPLE_UNIT_LOCKED_READY_FOR_CM2B_PREPROCESSING_LOCK"" || L60:) || L61: ### L135: || L136: || L137:def resolve_source_t2(nib): || L138:print(""\n===== PROSTATE158 EXACT T2 GEOMETRY RESOLUTION ====="") || L139: ### L241: || L242: || L243:def audit_source_slice_distribution(nib, selected_map): || L244:print(""\n===== SOURCE SLICE DISTRIBUTION ====="") || L245: ### L242: || L243:def audit_source_slice_distribution(nib, selected_map): || L244:print(""\n===== SOURCE SLICE DISTRIBUTION ====="") || L245: || L246:case_rows = []"
Prostate158,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py,70,"L3: || L4:"""""" || L5:Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py || L6: || L7:SafeTTA Q1 enhancement — CM3. ### L9:Scientific role || L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. ### L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. || L14: ### L20:This script: || L21:1) verifies the exact CM2B lock and all child artifacts; || L22:2) builds a SOURCE-only preprocessed memmap cache; || L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; ### L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. ### L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. || L28: ### L32:- fit the SafeTTA safety model; || L33:- tune on PROMISE12; || L34:- train final all-source external models. || L35: || L36:Resume behavior ### L36:Resume behavior || L37:--------------- || L38:The stage is resumable. Each fold writes a last-state checkpoint containing || L39:optimizer/scaler/RNG state. Existing completed folds are reused only after || L40:their completion metadata and best checkpoint are found."
Prostate158,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2.py,71,"L3: || L4:"""""" || L5:Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py || L6: || L7:SafeTTA Q1 enhancement — CM3. ### L9:Scientific role || L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. ### L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. || L14: ### L20:This script: || L21:1) verifies the exact CM2B lock and all child artifacts; || L22:2) builds a SOURCE-only preprocessed memmap cache; || L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; ### L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. ### L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. || L28: ### L32:- fit the SafeTTA safety model; || L33:- tune on PROMISE12; || L34:- train final all-source external models. || L35: || L36:Resume behavior ### L36:Resume behavior || L37:--------------- || L38:The stage is resumable. Each fold writes a last-state checkpoint containing || L39:optimizer/scaler/RNG state. Existing completed folds are reused only after || L40:their completion metadata and best checkpoint are found."
Prostate158,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py,89,"L3: || L4:"""""" || L5:Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py || L6: || L7:SafeTTA Q1 enhancement — CM3. ### L9:Scientific role || L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. ### L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. || L14: ### L20:This script: || L21:1) verifies the exact CM2B lock and all child artifacts; || L22:2) builds a SOURCE-only preprocessed memmap cache; || L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; ### L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. ### L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. || L28: ### L32:- fit the SafeTTA safety model; || L33:- tune on PROMISE12; || L34:- train final all-source external models. || L35: || L36:Resume behavior ### L36:Resume behavior || L37:--------------- || L38:The stage is resumable. Each fold writes a last-state checkpoint containing || L39:optimizer/scaler/RNG state. Existing completed folds are reused only after || L40:their completion metadata and best checkpoint are found."
Prostate158,code/Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3.py,22,"L3: || L4:"""""" || L5:Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3.py || L6: || L7:Read-only CM4A replay audit. ### L47:CM3_DIR = ( || L48:OUT || L49:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1"" || L50:) || L51:CM3_LOCK = CM3_DIR / ""CM3_SOURCE_OOF_SEGMENTATION_PANEL_LOCK.json"" ### L49:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1"" || L50:) || L51:CM3_LOCK = CM3_DIR / ""CM3_SOURCE_OOF_SEGMENTATION_PANEL_LOCK.json"" || L52:EXPECTED_CM3_LOCK_SHA = ( || L53:""4cfbe8f108f53e014973111d96244c666bfabd13eb022675fa31a34edaae7cec"" ### L56:CM3_HELPER = ( || L57:CODE || L58:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py"" || L59:) || L60:EXPECTED_CM3_HELPER_SHA = ( ### L64:DEFAULT_OUTPUT = ( || L65:OUT || L66:/ ""Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3_v1"" || L67:) || L68: ### L161: || L162:def main(): || L163:print(""===== Q1X CM4A FIX3 EXACT-BATCH SOURCE OOF REPLAY AUDIT ====="") || L164:print(""MODE=READ_ONLY_DIAGNOSTIC"") || L165:print(""REPLAY_BATCH_SIZE=8"") ### L199:configure_exact_cm3_runtime(torch) || L200: || L201:cache_meta_path = Path(cm3[""source_cache_meta""]) || L202:if sha256_file(cache_meta_path) != cm3[""source_cache_meta_sha256""]: || L203:raise RuntimeError(""CM3 source cache meta SHA mismatch."") ### L200: || L201:cache_meta_path = Path(cm3[""source_cache_meta""]) || L202:if sha256_file(cache_meta_path) != cm3[""source_cache_meta_sha256""]: || L203:raise RuntimeError(""CM3 source cache meta SHA mismatch."") || L204:"
Prostate158,code/Q1X_CM4A_source_oof_replay_numerical_boundary_audit_fix2.py,24,"L3: || L4:"""""" || L5:Q1X_CM4A_source_oof_replay_numerical_boundary_audit_fix2.py || L6: || L7:Read-only diagnostic after CM4A Fix1 stopped because exact binary replay of ### L9: || L10:This script does NOT run TENT and does NOT access PROMISE12. || L11:It compares, for every SOURCE slice and family: || L12:1) frozen CM3 OOF float16 probabilities; || L13:2) frozen CM3 OOF uint8 masks; ### L12:1) frozen CM3 OOF float16 probabilities; || L13:2) frozen CM3 OOF uint8 masks; || L14:3) replayed checkpoint probabilities using the same preprocessing/model. || L15: || L16:The goal is to determine whether binary mismatches are only threshold-boundary ### L38:CM3_DIR = ( || L39:OUT || L40:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1"" || L41:) || L42:CM3_LOCK = CM3_DIR / ""CM3_SOURCE_OOF_SEGMENTATION_PANEL_LOCK.json"" ### L40:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1"" || L41:) || L42:CM3_LOCK = CM3_DIR / ""CM3_SOURCE_OOF_SEGMENTATION_PANEL_LOCK.json"" || L43:EXPECTED_CM3_LOCK_SHA = ( || L44:""4cfbe8f108f53e014973111d96244c666bfabd13eb022675fa31a34edaae7cec"" ### L47:CM3_HELPER = ( || L48:CODE || L49:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py"" || L50:) || L51:EXPECTED_CM3_HELPER_SHA = ( ### L55:DEFAULT_OUTPUT = ( || L56:OUT || L57:/ ""Q1X_CM4A_source_oof_replay_numerical_boundary_audit_fix2_v1"" || L58:) || L59: ### L109: || L110: || L111:def load_source_tensor(image_memmap, global_index, torch, device): || L112:image = np.asarray( || L113:image_memmap[int(global_index)],"
Prostate158,code/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix1.py,130,"L3: || L4:"""""" || L5:Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix1.py || L6: || L7:SafeTTA Q1 enhancement — CM4A. ### L10:------- || L11:Use the frozen CM3 patient-separated OOF prostate segmentation models to || L12:construct the SOURCE-only counterfactual outcome asset: || L13: || L14:SOURCE vs A1_TENT_1STEP ### L12:construct the SOURCE-only counterfactual outcome asset: || L13: || L14:SOURCE vs A1_TENT_1STEP || L15: || L16:for every Prostate158 axial slice and every frozen model family. ### L17: || L18:This stage: || L19:- uses SOURCE GT (allowed); || L20:- does NOT access PROMISE12; || L21:- does NOT fit the safety predictor; ### L32:- episodic reset = YES || L33:- normalization-affine parameters only || L34:- source prediction from untouched checkpoint in eval mode || L35: || L36:Architecture-compatible normalization: ### L37:- UNet: BatchNorm2d affine || L38:- DeepLabV3-R50: ordinary BatchNorm2d affine; ASPP pooled singleton-unsafe || L39:BN stays eval with source running statistics; Dropout stays eval || L40:- SegFormer-B0: LayerNorm + compatible BatchNorm2d affine; Dropout stays eval || L41: ### L66: || L67:VERSION = ""2026-09-05-Q1X-CM4A-v1-fix1"" || L68:BUILD = ""Q1X_CM4A_SOURCE_OOF_TENT1_OUTCOME_ASSET_LOCK_FIX1"" || L69: || L70:ROOT = Path(r""F:\MEDSEG_SAFETTA"") ### L74:CM3_DIR = ( || L75:OUT || L76:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1"" || L77:) || L78:CM3_LOCK = CM3_DIR / ""CM3_SOURCE_OOF_SEGMENTATION_PANEL_LOCK.json"""
Prostate158,code/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4 (1).py,115,"L3: || L4:"""""" || L5:Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4.py || L6: || L7:SafeTTA Q1 enhancement — CM4A. ### L10:------- || L11:Use the frozen CM3 patient-separated OOF prostate segmentation models to || L12:construct the SOURCE-only counterfactual outcome asset: || L13: || L14:SOURCE vs A1_TENT_1STEP ### L12:construct the SOURCE-only counterfactual outcome asset: || L13: || L14:SOURCE vs A1_TENT_1STEP || L15: || L16:for every Prostate158 axial slice and every frozen model family. ### L17: || L18:This stage: || L19:- uses SOURCE GT (allowed); || L20:- uses the frozen CM3 OOF mask as the SOURCE baseline; || L21:- requires the CM4A Fix3 exact batch-8 replay audit to have PASSed with ### L18:This stage: || L19:- uses SOURCE GT (allowed); || L20:- uses the frozen CM3 OOF mask as the SOURCE baseline; || L21:- requires the CM4A Fix3 exact batch-8 replay audit to have PASSed with || L22:zero binary mismatches across all 15 family/fold combinations; ### L35:- episodic reset = YES || L36:- normalization-affine parameters only || L37:- source prediction from untouched checkpoint in eval mode || L38: || L39:Architecture-compatible normalization: ### L40:- UNet: BatchNorm2d affine || L41:- DeepLabV3-R50: ordinary BatchNorm2d affine; ASPP pooled singleton-unsafe || L42:BN stays eval with source running statistics; Dropout stays eval || L43:- SegFormer-B0: LayerNorm + compatible BatchNorm2d affine; Dropout stays eval || L44: ### L69: || L70:VERSION = ""2026-09-05-Q1X-CM4A-v1-fix4"" || L71:BUILD = ""Q1X_CM4A_SOURCE_OOF_TENT1_OUTCOME_ASSET_LOCK_FIX4"" || L72: || L73:ROOT = Path(r""F:\MEDSEG_SAFETTA"")"
