dataset,path,hit_count,examples,priority
PROMISE12,code/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1.py,14,"L125:CM4B_HELPER = ( || L126:CODE || L127:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1.py"" || L128:) || L129:EXPECTED_CM4B_HELPER_SHA = ( ### L846:) || L847: || L848:model, _ = cm4a.build_loaded_model( || L849:cm3, || L850:family, ### L886:), || L887:): || L888:logits = model(x) || L889: || L890:mask = logits.detach().float().cpu().numpy()[:, 0] >= 0.0 ### L898:torch.cuda.empty_cache() || L899: || L900:model, _ = cm4a.build_loaded_model( || L901:cm3, || L902:family, ### L954:), || L955:): || L956:pre_logits = model(x) || L957:pre_loss = cm4a.binary_entropy_from_logits(pre_logits) || L958: ### L972:), || L973:): || L974:post_logits = model(x) || L975: || L976:post_entropy = cm4a.binary_entropy_scalar(post_logits) ### L1079:ckpt_sha = cm4d[""final_models""][family][""checkpoint_sha256""] || L1080: || L1081:model, _ = cm4a.build_loaded_model( || L1082:cm3, || L1083:family, ### L1101:), || L1102:): || L1103:src_logits = model(x) || L1104: || L1105:source_mask = (",100
PROMISE12,code/Q1X_CM5B_unlabeled_support_aware_operating_point_transport_lock_fix1.py,1,"L73:CM4B_LOCK = ( || L74:OUT || L75:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1"" || L76:/ ""CM4B_MRI_SOURCE_SAFETY_OOF_LOCK.json"" || L77:)",0
PROMISE12,code/Q1X_CM5B_unlabeled_support_aware_operating_point_transport_lock_fix2.py,1,"L73:CM4B_LOCK = ( || L74:OUT || L75:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1"" || L76:/ ""CM4B_MRI_SOURCE_SAFETY_OOF_LOCK.json"" || L77:)",0
PROMISE12,code/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix1.py,7,"L109:CM4B_LOCK = ( || L110:OUT || L111:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1"" || L112:/ ""CM4B_MRI_SOURCE_SAFETY_OOF_LOCK.json"" || L113:) ### L153:CM4B_HELPER = ( || L154:CODE || L155:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1.py"" || L156:) || L157:EXPECTED_CM4B_HELPER_SHA = ( ### L528:) || L529: || L530:model = cm4b_helper.load_dino_model( || L531:dino_lock, || L532:device, ### L575:), || L576:): || L577:out = model(pixel_values=x) || L578: || L579:cls = out.last_hidden_state[:, 0, :].float() ### L661:] || L662: || L663:model, _ = cm4a_helper.build_loaded_model( || L664:cm3, || L665:family, ### L710:), || L711:): || L712:logits = model(x) || L713: || L714:logits_f = logits.detach().float() ### L713: || L714:logits_f = logits.detach().float() || L715:prob = torch.sigmoid(logits_f) || L716: || L717:entropy = -(",0
PROMISE12,code/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2.py,10,"L109:CM4B_LOCK = ( || L110:OUT || L111:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1"" || L112:/ ""CM4B_MRI_SOURCE_SAFETY_OOF_LOCK.json"" || L113:) ### L161:CM4B_HELPER = ( || L162:CODE || L163:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1.py"" || L164:) || L165:EXPECTED_CM4B_HELPER_SHA = ( ### L536:) || L537: || L538:model = cm4b_helper.load_dino_model( || L539:dino_lock, || L540:device, ### L583:), || L584:): || L585:out = model(pixel_values=x) || L586: || L587:cls = out.last_hidden_state[:, 0, :].float() ### L669:] || L670: || L671:model, _ = cm4a_helper.build_loaded_model( || L672:cm3_helper_module, || L673:family, ### L718:), || L719:): || L720:logits = model(x) || L721: || L722:logits_f = logits.detach().float() ### L721: || L722:logits_f = logits.detach().float() || L723:prob = torch.sigmoid(logits_f) || L724: || L725:entropy = -( ### L993:""issue"": ( || L994:""Fix1 passed the parsed CM3 lock dictionary into "" || L995:""CM4A build_loaded_model(), whose first argument must be "" || L996:""the imported CM3 helper module exposing build_model()."" || L997:),",0
PolypGen,code/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1.py,1,"L898:""model_states"": EXPECTED_STATES, || L899:""model_case_rows"": EXPECTED_MODEL_CASES, || L900:""source_prediction_masks"": EXPECTED_MODEL_CASES, || L901:""a1_prediction_masks"": EXPECTED_MODEL_CASES, || L902:""all_model_cases_received_a1"": True,",98
PolypGen,code/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2.py,1,"L1118:""model_states"": EXPECTED_STATES, || L1119:""model_case_rows"": EXPECTED_MODEL_CASES, || L1120:""source_prediction_masks"": EXPECTED_MODEL_CASES, || L1121:""a1_prediction_masks"": EXPECTED_MODEL_CASES, || L1122:""all_model_cases_received_a1"": True,",99
PolypGen,code/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1.py,1,L570: || L571:with torch.no_grad(): || L572:outputs = model(**inputs) || L573: || L574:h = (,97
SUNSEG,code/Q1_R14C1A_sunseg_prediction_lineage_canonicalization_fix1.py,1,"L443:""source_state_lock_path"": str(src_lock), || L444:""source_state_lock_sha256"": sha256_file(src_lock), || L445:""source_prediction_npz_sha256"": npz_sha, || L446:""source_index_csv_sha256"": idx_sha, || L447:}",0
SUNSEG,code/Q1_R14C3B_sunseg_gt_reveal_dual_action_frozen_score_evaluation_fix1.py,1,"L1611:""model_inference_run_in_r14c3b"": False, || L1612:""tta_run_in_r14c3b"": False, || L1613:""source_predictions_modified"": False, || L1614:""tent1_predictions_modified"": False, || L1615:""pl_predictions_modified"": False,",0
SUNSEG,code/Q1_R14C3C_sunseg_confirmatory_result_audit_and_claim_freeze_fix1.py,1,"L138:""model_inference_run_in_r14c3b"", || L139:""tta_run_in_r14c3b"", || L140:""source_predictions_modified"", || L141:""tent1_predictions_modified"", || L142:""pl_predictions_modified"",",0
PolypGen,code/S06_C_polypgen_dual_backbone_no_label_inference_lock_v1.py,5,"L358:file_sha256(npz_path) == lock.get(""npz_sha256""), || L359:file_sha256(csv_path) == lock.get(""csv_sha256""), || L360:npy_shape(npz_path, ""source_logits"") == (len(rows), IMAGE_SIZE, IMAGE_SIZE), || L361:npy_shape(npz_path, ""tent_logits"") == (len(rows), IMAGE_SIZE, IMAGE_SIZE), || L362:] ### L396:helper, training, gate = ctx[""helper""], ctx[""training""], ctx[""gate""] || L397:seed_runtime(seed) || L398:model = helper.load_model(training, seed, device) || L399:unsafe_names, dropout_names, unsafe_modules, dropout_modules = [], [], None, None || L400:if architecture == ""pranet"": ### L455:table = building / ""no_label_features_and_gate_decisions.csv"" || L456:np.savez_compressed( || L457:npz, source_logits=src, tent_logits=tent, || L458:external_ids=np.asarray([r[""external_id""] for r in rows], dtype=str), || L459:centers=np.asarray([r[""center""] for r in rows], dtype=str), ### L688:td = Path(td) || L689:npz = td / ""toy.npz"" || L690:np.savez_compressed(npz, source_logits=np.zeros((2, 3, 4), np.float16), tent_logits=np.ones((2, 3, 4), np.float16)) || L691:assert npy_shape(npz, ""source_logits"") == (2, 3, 4) || L692:assert npy_shape(npz, ""tent_logits"") == (2, 3, 4) ### L689:npz = td / ""toy.npz"" || L690:np.savez_compressed(npz, source_logits=np.zeros((2, 3, 4), np.float16), tent_logits=np.ones((2, 3, 4), np.float16)) || L691:assert npy_shape(npz, ""source_logits"") == (2, 3, 4) || L692:assert npy_shape(npz, ""tent_logits"") == (2, 3, 4) || L693:final, building = unit_dirs(td, ""pranet"", 20260817)",0
PolypGen,code/S06_C_polypgen_dual_backbone_no_label_inference_lock_v1_fix1.py,5,"L375:file_sha256(npz_path) == lock.get(""npz_sha256""), || L376:file_sha256(csv_path) == lock.get(""csv_sha256""), || L377:npy_shape(npz_path, ""source_logits"") == (len(rows), IMAGE_SIZE, IMAGE_SIZE), || L378:npy_shape(npz_path, ""tent_logits"") == (len(rows), IMAGE_SIZE, IMAGE_SIZE), || L379:] ### L413:helper, training, gate = ctx[""helper""], ctx[""training""], ctx[""gate""] || L414:seed_runtime(seed) || L415:model = helper.load_model(training, seed, device) || L416:unsafe_names, dropout_names, unsafe_modules, dropout_modules = [], [], None, None || L417:if architecture == ""pranet"": ### L472:table = building / ""no_label_features_and_gate_decisions.csv"" || L473:np.savez_compressed( || L474:npz, source_logits=src, tent_logits=tent, || L475:external_ids=np.asarray([r[""external_id""] for r in rows], dtype=str), || L476:centers=np.asarray([r[""center""] for r in rows], dtype=str), ### L715:td = Path(td) || L716:npz = td / ""toy.npz"" || L717:np.savez_compressed(npz, source_logits=np.zeros((2, 3, 4), np.float16), tent_logits=np.ones((2, 3, 4), np.float16)) || L718:assert npy_shape(npz, ""source_logits"") == (2, 3, 4) || L719:assert npy_shape(npz, ""tent_logits"") == (2, 3, 4) ### L716:npz = td / ""toy.npz"" || L717:np.savez_compressed(npz, source_logits=np.zeros((2, 3, 4), np.float16), tent_logits=np.ones((2, 3, 4), np.float16)) || L718:assert npy_shape(npz, ""source_logits"") == (2, 3, 4) || L719:assert npy_shape(npz, ""tent_logits"") == (2, 3, 4) || L720:final, building = unit_dirs(td, ""pranet"", 20260817)",0
PolypGen,code/S06_D_polypgen_external_gt_reveal_evaluation_v1.py,4,"L291:centers = data[""centers""].tolist() || L292:image_members = data[""image_members""].tolist() || L293:source_logits = data[""source_logits""] || L294:tent_logits = data[""tent_logits""] || L295:if ids != expected_ids: ### L295:if ids != expected_ids: || L296:raise RuntimeError(f""NPZ order mismatch: {architecture} seed={seed}"") || L297:if source_logits.shape != (EXPECTED_IMAGES, IMAGE_SIZE, IMAGE_SIZE): || L298:raise RuntimeError(f""Source logit shape mismatch: {architecture} seed={seed}"") || L299:if tent_logits.shape != source_logits.shape: ### L297:if source_logits.shape != (EXPECTED_IMAGES, IMAGE_SIZE, IMAGE_SIZE): || L298:raise RuntimeError(f""Source logit shape mismatch: {architecture} seed={seed}"") || L299:if tent_logits.shape != source_logits.shape: || L300:raise RuntimeError(f""TENT logit shape mismatch: {architecture} seed={seed}"") || L301: ### L314:raise RuntimeError(f""GT mask changed during evaluation: {external_id}"") || L315: || L316:source_dice, source_iou = metrics_from_logit(source_logits[i], gt) || L317:tent_dice, tent_iou = metrics_from_logit(tent_logits[i], gt) || L318:accepted = int(d[""tent_accepted""]) == 1",0
PolypGen,code/S06_D_polypgen_external_gt_reveal_evaluation_v1_fix1.py,4,"L342:centers = data[""centers""].tolist() || L343:image_members = data[""image_members""].tolist() || L344:source_logits = data[""source_logits""] || L345:tent_logits = data[""tent_logits""] || L346:if ids != expected_ids: ### L346:if ids != expected_ids: || L347:raise RuntimeError(f""NPZ order mismatch: {architecture} seed={seed}"") || L348:if source_logits.shape != (EXPECTED_IMAGES, IMAGE_SIZE, IMAGE_SIZE): || L349:raise RuntimeError(f""Source logit shape mismatch: {architecture} seed={seed}"") || L350:if tent_logits.shape != source_logits.shape: ### L348:if source_logits.shape != (EXPECTED_IMAGES, IMAGE_SIZE, IMAGE_SIZE): || L349:raise RuntimeError(f""Source logit shape mismatch: {architecture} seed={seed}"") || L350:if tent_logits.shape != source_logits.shape: || L351:raise RuntimeError(f""TENT logit shape mismatch: {architecture} seed={seed}"") || L352: ### L365:raise RuntimeError(f""GT mask changed during evaluation: {external_id}"") || L366: || L367:source_dice, source_iou = metrics_from_logit(source_logits[i], gt) || L368:tent_dice, tent_iou = metrics_from_logit(tent_logits[i], gt) || L369:accepted = int(d[""tent_accepted""]) == 1",0
PROMISE12,release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1.py,14,"L125:CM4B_HELPER = ( || L126:CODE || L127:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1.py"" || L128:) || L129:EXPECTED_CM4B_HELPER_SHA = ( ### L846:) || L847: || L848:model, _ = cm4a.build_loaded_model( || L849:cm3, || L850:family, ### L886:), || L887:): || L888:logits = model(x) || L889: || L890:mask = logits.detach().float().cpu().numpy()[:, 0] >= 0.0 ### L898:torch.cuda.empty_cache() || L899: || L900:model, _ = cm4a.build_loaded_model( || L901:cm3, || L902:family, ### L954:), || L955:): || L956:pre_logits = model(x) || L957:pre_loss = cm4a.binary_entropy_from_logits(pre_logits) || L958: ### L972:), || L973:): || L974:post_logits = model(x) || L975: || L976:post_entropy = cm4a.binary_entropy_scalar(post_logits) ### L1079:ckpt_sha = cm4d[""final_models""][family][""checkpoint_sha256""] || L1080: || L1081:model, _ = cm4a.build_loaded_model( || L1082:cm3, || L1083:family, ### L1101:), || L1102:): || L1103:src_logits = model(x) || L1104: || L1105:source_mask = (",100
PROMISE12,release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM5B_unlabeled_support_aware_operating_point_transport_lock_fix2.py,1,"L73:CM4B_LOCK = ( || L74:OUT || L75:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1"" || L76:/ ""CM4B_MRI_SOURCE_SAFETY_OOF_LOCK.json"" || L77:)",0
PROMISE12,release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2.py,10,"L109:CM4B_LOCK = ( || L110:OUT || L111:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1"" || L112:/ ""CM4B_MRI_SOURCE_SAFETY_OOF_LOCK.json"" || L113:) ### L161:CM4B_HELPER = ( || L162:CODE || L163:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1.py"" || L164:) || L165:EXPECTED_CM4B_HELPER_SHA = ( ### L536:) || L537: || L538:model = cm4b_helper.load_dino_model( || L539:dino_lock, || L540:device, ### L583:), || L584:): || L585:out = model(pixel_values=x) || L586: || L587:cls = out.last_hidden_state[:, 0, :].float() ### L669:] || L670: || L671:model, _ = cm4a_helper.build_loaded_model( || L672:cm3_helper_module, || L673:family, ### L718:), || L719:): || L720:logits = model(x) || L721: || L722:logits_f = logits.detach().float() ### L721: || L722:logits_f = logits.detach().float() || L723:prob = torch.sigmoid(logits_f) || L724: || L725:entropy = -( ### L993:""issue"": ( || L994:""Fix1 passed the parsed CM3 lock dictionary into "" || L995:""CM4A build_loaded_model(), whose first argument must be "" || L996:""the imported CM3 helper module exposing build_model()."" || L997:),",0
PolypGen,release/SafeTTA_clean_test_v102/experiments/polypgen/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2.py,1,"L1118:""model_states"": EXPECTED_STATES, || L1119:""model_case_rows"": EXPECTED_MODEL_CASES, || L1120:""source_prediction_masks"": EXPECTED_MODEL_CASES, || L1121:""a1_prediction_masks"": EXPECTED_MODEL_CASES, || L1122:""all_model_cases_received_a1"": True,",99
PolypGen,release/SafeTTA_clean_test_v102/experiments/polypgen/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1.py,1,L570: || L571:with torch.no_grad(): || L572:outputs = model(**inputs) || L573: || L574:h = (,97
SUNSEG,release/SafeTTA_clean_test_v102/experiments/sunseg/Q1_R14C1A_sunseg_prediction_lineage_canonicalization_fix1.py,1,"L443:""source_state_lock_path"": str(src_lock), || L444:""source_state_lock_sha256"": sha256_file(src_lock), || L445:""source_prediction_npz_sha256"": npz_sha, || L446:""source_index_csv_sha256"": idx_sha, || L447:}",0
SUNSEG,release/SafeTTA_clean_test_v102/experiments/sunseg/Q1_R14C3B_sunseg_gt_reveal_dual_action_frozen_score_evaluation_fix1.py,1,"L1611:""model_inference_run_in_r14c3b"": False, || L1612:""tta_run_in_r14c3b"": False, || L1613:""source_predictions_modified"": False, || L1614:""tent1_predictions_modified"": False, || L1615:""pl_predictions_modified"": False,",0
PROMISE12,release/SafeTTA_clean_test_v102/method_core/mri/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1.py,14,"L125:CM4B_HELPER = ( || L126:CODE || L127:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1.py"" || L128:) || L129:EXPECTED_CM4B_HELPER_SHA = ( ### L846:) || L847: || L848:model, _ = cm4a.build_loaded_model( || L849:cm3, || L850:family, ### L886:), || L887:): || L888:logits = model(x) || L889: || L890:mask = logits.detach().float().cpu().numpy()[:, 0] >= 0.0 ### L898:torch.cuda.empty_cache() || L899: || L900:model, _ = cm4a.build_loaded_model( || L901:cm3, || L902:family, ### L954:), || L955:): || L956:pre_logits = model(x) || L957:pre_loss = cm4a.binary_entropy_from_logits(pre_logits) || L958: ### L972:), || L973:): || L974:post_logits = model(x) || L975: || L976:post_entropy = cm4a.binary_entropy_scalar(post_logits) ### L1079:ckpt_sha = cm4d[""final_models""][family][""checkpoint_sha256""] || L1080: || L1081:model, _ = cm4a.build_loaded_model( || L1082:cm3, || L1083:family, ### L1101:), || L1102:): || L1103:src_logits = model(x) || L1104: || L1105:source_mask = (",100
PROMISE12,release/SafeTTA_clean_test_v102/method_core/mri/Q1X_CM5B_unlabeled_support_aware_operating_point_transport_lock_fix2.py,1,"L73:CM4B_LOCK = ( || L74:OUT || L75:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1"" || L76:/ ""CM4B_MRI_SOURCE_SAFETY_OOF_LOCK.json"" || L77:)",0
PROMISE12,release/SafeTTA_clean_test_v102/method_core/mri/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2.py,10,"L109:CM4B_LOCK = ( || L110:OUT || L111:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1"" || L112:/ ""CM4B_MRI_SOURCE_SAFETY_OOF_LOCK.json"" || L113:) ### L161:CM4B_HELPER = ( || L162:CODE || L163:/ ""Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1.py"" || L164:) || L165:EXPECTED_CM4B_HELPER_SHA = ( ### L536:) || L537: || L538:model = cm4b_helper.load_dino_model( || L539:dino_lock, || L540:device, ### L583:), || L584:): || L585:out = model(pixel_values=x) || L586: || L587:cls = out.last_hidden_state[:, 0, :].float() ### L669:] || L670: || L671:model, _ = cm4a_helper.build_loaded_model( || L672:cm3_helper_module, || L673:family, ### L718:), || L719:): || L720:logits = model(x) || L721: || L722:logits_f = logits.detach().float() ### L721: || L722:logits_f = logits.detach().float() || L723:prob = torch.sigmoid(logits_f) || L724: || L725:entropy = -( ### L993:""issue"": ( || L994:""Fix1 passed the parsed CM3 lock dictionary into "" || L995:""CM4A build_loaded_model(), whose first argument must be "" || L996:""the imported CM3 helper module exposing build_model()."" || L997:),",0
