dataset,path,size_bytes,size_human,row_count,columns_or_keys,status,route_priority
PROMISE12,outputs/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3_v1/CM2A_PROMISE12_IMAGE_ONLY_PATIENT_MANIFEST.csv,11159,10.90 KiB,50,patient_id|case_id|image_mhd|image_raw|dim_x|dim_y|dim_z|element_type|element_spacing,OK,0
Prostate158,outputs/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3_v1/CM2A_PROMISE12_IMAGE_ONLY_PATIENT_MANIFEST.csv,11159,10.90 KiB,50,patient_id|case_id|image_mhd|image_raw|dim_x|dim_y|dim_z|element_type|element_spacing,OK,0
PROMISE12,outputs/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3_v1/CM2A_PROMISE12_IMAGE_ONLY_SLICE_MANIFEST.csv,304886,297.74 KiB,1377,sample_id|patient_id|case_id|slice_axis|slice_index|image_mhd|image_raw|dim_x|dim_y|dim_z|gt_used_for_manifest,OK,0
Prostate158,outputs/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3_v1/CM2A_PROMISE12_IMAGE_ONLY_SLICE_MANIFEST.csv,304886,297.74 KiB,1377,sample_id|patient_id|case_id|slice_axis|slice_index|image_mhd|image_raw|dim_x|dim_y|dim_z|gt_used_for_manifest,OK,0
Prostate158,outputs/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3_v1/CM2A_PROSTATE158_OFFICIAL_T2_CASE_MANIFEST.csv,40666,39.71 KiB,139,case_key|official_split|t2_path|annotation_path|shape_x|shape_y|shape_z|slice_axis|n_slices|n_source_gt_positive_slices|n_source_gt_empty_slices|whole_gland_rule,OK,0
Prostate158,outputs/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3_v1/CM2A_PROSTATE_MRI_SAMPLE_UNIT_LOCK.json,2998,2.93 KiB,,status|decision|version|build|cm1_lock_sha256|fix3_reason|source|external|information_boundary|artifacts|next_stage,OK,0
PROMISE12,outputs/Q1X_CM2B_prostate_mri_preprocessing_and_model_protocol_lock_fix1_v1/CM2B_PROMISE12_IMAGE_ONLY_HEADER_AUDIT.csv,3442,3.36 KiB,50,patient_id|spacing_x|spacing_y|spacing_z|dim_x|dim_y|dim_z|element_type|gt_header_opened|gt_raw_opened,OK,0
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1/source_cache/source_cache_meta.json,568,568.00 B,,status|n_slices|input_size|target_spacing_mm|image_dtype|mask_dtype|image_range|source_only|promises12_accessed|images_sha256|masks_sha256|slices_sha256,OK,0
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1/source_cache/source_slices.csv,79278,77.42 KiB,3553,global_index|case_key|fold|slice_index|source_gt_positive,OK,0
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1/source_cache/source_cache_meta.json,568,568.00 B,,status|n_slices|input_size|target_spacing_mm|image_dtype|mask_dtype|image_range|source_only|promises12_accessed|images_sha256|masks_sha256|slices_sha256,OK,0
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1/source_cache/source_slices.csv,79278,77.42 KiB,3553,global_index|case_key|fold|slice_index|source_gt_positive,OK,0
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_BATCH8_MODEL_PREFLIGHT.json,1259,1.23 KiB,,status|version|batch_size|input_size|device|gpu|families|segformer_encoder|promises12_gt_access,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_DeepLabV3_R50_FOLD_SUMMARY.csv,424,424.00 B,5,family|fold|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_SegFormer_B0_FOLD_SUMMARY.csv,410,410.00 B,5,family|fold|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_SOURCE_OOF_MODEL_PANEL_SUMMARY.csv,290,290.00 B,3,family|mean_fold_patient_dice|std_fold_patient_dice|best_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_SOURCE_OOF_SEGMENTATION_PANEL_LOCK.json,5066,4.95 KiB,,status|decision|version|build|cm2b_lock_sha256|source_patient_count|source_slice_count|fold_count|families|batch_size|max_epochs|target_spacing_mm|promises12_gt_access|segformer_encoder_lock|tta|safety_model_fitting|family_oof_artifacts|panel_summary|panel_summary_sha256|source_cache_meta|source_cache_meta_sha256|batch8_preflight|batch8_preflight_sha256|next_stage,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_UNet_FOLD_SUMMARY.csv,366,366.00 B,5,family|fold|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/best_oof_index.csv,14630,14.29 KiB,719,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/best_patient_metrics.csv,1348,1.32 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
