path,line,match,context
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,59,"R02_DIR = ROOT / ""outputs"" / ""Q1_R02_segformer_b0_three_seed_source_training_v1_fix7""","L57:DATA_ROOT = ROOT / ""data"" / ""processed"" / ""S00_polyp_locked_v1"" || L58: || L59:R02_DIR = ROOT / ""outputs"" / ""Q1_R02_segformer_b0_three_seed_source_training_v1_fix7"" || L60:R02_LOCK = R02_DIR / ""Q1_R02_SEGFORMER_SOURCE_TRAINING_LOCK.json"" || L61:EXPECTED_R02_LOCK_SHA256 = ("
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,60,"R02_LOCK = R02_DIR / ""Q1_R02_SEGFORMER_SOURCE_TRAINING_LOCK.json""","L58: || L59:R02_DIR = ROOT / ""outputs"" / ""Q1_R02_segformer_b0_three_seed_source_training_v1_fix7"" || L60:R02_LOCK = R02_DIR / ""Q1_R02_SEGFORMER_SOURCE_TRAINING_LOCK.json"" || L61:EXPECTED_R02_LOCK_SHA256 = ( || L62:""42d27708b95211491df5c920a83a5223f7d6f3ee22cf1ff673609e6ec8b956a0"""
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,64,"EXPECTED_R02_DECISION = ""SEGFORMER_B0_THREE_STATE_PANEL_READY""","L62:""42d27708b95211491df5c920a83a5223f7d6f3ee22cf1ff673609e6ec8b956a0"" || L63:) || L64:EXPECTED_R02_DECISION = ""SEGFORMER_B0_THREE_STATE_PANEL_READY"" || L65: || L66:Q1_S00A_DIR = ROOT / ""outputs"" / ""Q1_S00A_iae_pre_adaptation_gradient_probe_v1"""
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,106,IMAGE_SIZE = 352,"L104:SOURCE_VAL_N = 145 || L105:N_FOLDS = 5 || L106:IMAGE_SIZE = 352 || L107:A1_ACTION = ""A1_TENT_1STEP"" || L108:TENT_LR = 1e-3"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,115,"SEGFORMER_SEEDS = (20260820, 20260821, 20260822)","L113:PRANET_SEEDS = (20260817, 20260818, 20260819) || L114:DEEPLAB_SEEDS = (20260817, 20260818, 20260819) || L115:SEGFORMER_SEEDS = (20260820, 20260821, 20260822) || L116: || L117:PERTURBATIONS = ("
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,139,"""source_entropy_mean"",","L137: || L138:SOURCE_FEATURE_NAMES = [ || L139:""source_entropy_mean"", || L140:""source_entropy_std"", || L141:""source_entropy_q10"","
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,140,"""source_entropy_std"",","L138:SOURCE_FEATURE_NAMES = [ || L139:""source_entropy_mean"", || L140:""source_entropy_std"", || L141:""source_entropy_q10"", || L142:""source_entropy_q50"","
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,144,"""source_prob_mean"",","L142:""source_entropy_q50"", || L143:""source_entropy_q90"", || L144:""source_prob_mean"", || L145:""source_prob_std"", || L146:""source_prob_q10"","
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,145,"""source_prob_std"",","L143:""source_entropy_q90"", || L144:""source_prob_mean"", || L145:""source_prob_std"", || L146:""source_prob_q10"", || L147:""source_prob_q50"","
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,149,"""source_confidence_mean"",","L147:""source_prob_q50"", || L148:""source_prob_q90"", || L149:""source_confidence_mean"", || L150:""source_confidence_std"", || L151:""source_fg_fraction"","
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,150,"""source_confidence_std"",","L148:""source_prob_q90"", || L149:""source_confidence_mean"", || L150:""source_confidence_std"", || L151:""source_fg_fraction"", || L152:""source_boundary_density"","
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,155,"""source_logit_abs_mean"",","L153:""source_uncertain_fraction_040_060"", || L154:""source_high_entropy_fraction_050"", || L155:""source_logit_abs_mean"", || L156:""source_logit_abs_std"", || L157:""tent_preupdate_entropy_loss"","
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,156,"""source_logit_abs_std"",","L154:""source_high_entropy_fraction_050"", || L155:""source_logit_abs_mean"", || L156:""source_logit_abs_std"", || L157:""tent_preupdate_entropy_loss"", || L158:]"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,196,SEGFORMER_CHECKPOINTS = {,"L194:} || L195: || L196:SEGFORMER_CHECKPOINTS = { || L197:20260820: ( || L198:R02_DIR / ""seed_20260820"" / ""best_model_state.pt"","
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,306,def stable_sigmoid(z):,"L304: || L305: || L306:def stable_sigmoid(z): || L307:z = np.asarray(z, dtype=np.float64) || L308:p = np.empty_like(z)"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,321,p = stable_sigmoid(z),"L319:raise RuntimeError(f""Invalid source logit: shape={z.shape}"") || L320: || L321:p = stable_sigmoid(z) || L322:ent = binary_entropy_from_probability(p) || L323:conf = np.maximum(p, 1.0 - p)"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,327,"""source_entropy_mean"": float(np.mean(ent)),","L325: || L326:feat = { || L327:""source_entropy_mean"": float(np.mean(ent)), || L328:""source_entropy_std"": float(np.std(ent)), || L329:""source_entropy_q10"": float(np.quantile(ent, 0.10)),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,328,"""source_entropy_std"": float(np.std(ent)),","L326:feat = { || L327:""source_entropy_mean"": float(np.mean(ent)), || L328:""source_entropy_std"": float(np.std(ent)), || L329:""source_entropy_q10"": float(np.quantile(ent, 0.10)), || L330:""source_entropy_q50"": float(np.quantile(ent, 0.50)),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,332,"""source_prob_mean"": float(np.mean(p)),","L330:""source_entropy_q50"": float(np.quantile(ent, 0.50)), || L331:""source_entropy_q90"": float(np.quantile(ent, 0.90)), || L332:""source_prob_mean"": float(np.mean(p)), || L333:""source_prob_std"": float(np.std(p)), || L334:""source_prob_q10"": float(np.quantile(p, 0.10)),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,333,"""source_prob_std"": float(np.std(p)),","L331:""source_entropy_q90"": float(np.quantile(ent, 0.90)), || L332:""source_prob_mean"": float(np.mean(p)), || L333:""source_prob_std"": float(np.std(p)), || L334:""source_prob_q10"": float(np.quantile(p, 0.10)), || L335:""source_prob_q50"": float(np.quantile(p, 0.50)),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,337,"""source_confidence_mean"": float(np.mean(conf)),","L335:""source_prob_q50"": float(np.quantile(p, 0.50)), || L336:""source_prob_q90"": float(np.quantile(p, 0.90)), || L337:""source_confidence_mean"": float(np.mean(conf)), || L338:""source_confidence_std"": float(np.std(conf)), || L339:""source_fg_fraction"": float(np.mean(mask)),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,338,"""source_confidence_std"": float(np.std(conf)),","L336:""source_prob_q90"": float(np.quantile(p, 0.90)), || L337:""source_confidence_mean"": float(np.mean(conf)), || L338:""source_confidence_std"": float(np.std(conf)), || L339:""source_fg_fraction"": float(np.mean(mask)), || L340:""source_boundary_density"": boundary_density(mask),"
