path,datasets,signal_hit_count,examples
code/Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix1.py,,41,"L3: || L4:"""""" || L5:Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix1.py || L6: || L7:Cross-modality Q1 enhancement experiment: CM1 archive extraction, schema audit, ### L6: || L7:Cross-modality Q1 enhancement experiment: CM1 archive extraction, schema audit, || L8:and SOURCE-label encoding audit. || L9: || L10:Scientific role: ### L11:- preserve the exact CM0 dataset lock; || L12:- safely extract official archives to a new branch-local staging area; || L13:- decode Prostate158 SOURCE annotations only; || L14:- inventory/validate PROMISE12 image/reference pairing WITHOUT decoding || L15:PROMISE12 reference-mask voxel values; ### L14:- inventory/validate PROMISE12 image/reference pairing WITHOUT decoding || L15:PROMISE12 reference-mask voxel values; || L16:- freeze the exact source whole-gland mapping only if supported by the || L17:Prostate158 annotation values actually observed. || L18: ### L36: || L37:VERSION = ""2026-09-04-Q1X-CM1-v1-fix1"" || L38:BUILD = ""Q1X_CM1_PROSTATE_MRI_SCHEMA_AND_SOURCE_LABEL_AUDIT_FIX1"" || L39: || L40:ROOT = Path(r""F:\MEDSEG_SAFETTA\cross_modality_prostate_mri"") ### L39: || L40:ROOT = Path(r""F:\MEDSEG_SAFETTA\cross_modality_prostate_mri"") || L41:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L42: || L43:CM0_DIR = OUT / ""Q1X_CM0_prostate_mri_data_acquisition_integrity_audit_fix1_v1"" ### L61:P12_EXTRACT = EXTRACT_ROOT / ""PROMISE12"" || L62: || L63:DEFAULT_OUTPUT = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix1_v1"" || L64: || L65:DECISION_PASS = ( ### L64: || L65:DECISION_PASS = ( || L66:""SOURCE_SCHEMA_AND_LABEL_ENCODING_LOCKED_READY_FOR_CM2_PREPROCESSING_PROTOCOL"" || L67:) || L68:"
code/Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix2.py,,33,"L3: || L4:"""""" || L5:Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix2.py || L6: || L7:CM1 Fix2: preserve all CM0 and Prostate158 checks, but replace the overly ### L47: || L48:VERSION = ""2026-09-04-Q1X-CM1-v1-fix2"" || L49:BUILD = ""Q1X_CM1_PROSTATE_MRI_SCHEMA_AND_SOURCE_LABEL_AUDIT_FIX2"" || L50: || L51:ROOT = Path(r""F:\MEDSEG_SAFETTA\cross_modality_prostate_mri"") ### L50: || L51:ROOT = Path(r""F:\MEDSEG_SAFETTA\cross_modality_prostate_mri"") || L52:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L53: || L54:CM0_DIR = OUT / ""Q1X_CM0_prostate_mri_data_acquisition_integrity_audit_fix1_v1"" ### L72:P12_EXTRACT = EXTRACT_ROOT / ""PROMISE12"" || L73: || L74:DEFAULT_OUTPUT = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix2_v1"" || L75: || L76:DECISION_PASS = ( ### L75: || L76:DECISION_PASS = ( || L77:""SOURCE_SCHEMA_AND_LABEL_ENCODING_LOCKED_READY_FOR_CM2_PREPROCESSING_PROTOCOL"" || L78:) || L79: ### L146:except Exception as e: || L147:raise RuntimeError( || L148:""nibabel is required for the Prostate158 SOURCE NIfTI schema audit."" || L149:) from e || L150:return nib ### L191: || L192: || L193:def audit_prostate158_source(nib): || L194:print(""\n===== PROSTATE158 SOURCE SCHEMA AUDIT ====="") || L195:files = all_files(P158_EXTRACT) ### L192: || L193:def audit_prostate158_source(nib): || L194:print(""\n===== PROSTATE158 SOURCE SCHEMA AUDIT ====="") || L195:files = all_files(P158_EXTRACT) || L196:classes = defaultdict(list)"
code/Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3.py,,33,"L3: || L4:"""""" || L5:Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix2.py || L6: || L7:CM1 Fix2: preserve all CM0 and Prostate158 checks, but replace the overly ### L49: || L50:VERSION = ""2026-09-04-Q1X-CM1-v1-fix3"" || L51:BUILD = ""Q1X_CM1_PROSTATE_MRI_SCHEMA_AND_SOURCE_LABEL_AUDIT_FIX3"" || L52: || L53:ROOT = Path(r""F:\MEDSEG_SAFETTA\cross_modality_prostate_mri"") ### L52: || L53:ROOT = Path(r""F:\MEDSEG_SAFETTA\cross_modality_prostate_mri"") || L54:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L55: || L56:CM0_DIR = OUT / ""Q1X_CM0_prostate_mri_data_acquisition_integrity_audit_fix1_v1"" ### L74:P12_EXTRACT = EXTRACT_ROOT / ""PROMISE12"" || L75: || L76:DEFAULT_OUTPUT = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" || L77: || L78:DECISION_PASS = ( ### L77: || L78:DECISION_PASS = ( || L79:""SOURCE_SCHEMA_AND_LABEL_ENCODING_LOCKED_READY_FOR_CM2_PREPROCESSING_PROTOCOL"" || L80:) || L81: ### L149:except Exception as e: || L150:raise RuntimeError( || L151:""nibabel is required for the Prostate158 SOURCE NIfTI schema audit."" || L152:) from e || L153:return nib ### L194: || L195: || L196:def audit_prostate158_source(nib): || L197:print(""\n===== PROSTATE158 SOURCE SCHEMA AUDIT ====="") || L198:files = all_files(P158_EXTRACT) ### L195: || L196:def audit_prostate158_source(nib): || L197:print(""\n===== PROSTATE158 SOURCE SCHEMA AUDIT ====="") || L198:files = all_files(P158_EXTRACT) || L199:classes = defaultdict(list)"
code/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix2.py,Prostate158,51,"L14:- t2_anatomy_reader1 || L15: || L16:Fix2 therefore resolves the SOURCE image/label pair from those official CSV || L17:manifests, then verifies file existence and exact image/label geometry. || L18: ### L37: || L38:ROOT = Path(r""F:\MEDSEG_SAFETTA\cross_modality_prostate_mri"") || L39:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L40: || L41:CM1_DIR = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" ### L39:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L40: || L41:CM1_DIR = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" || L42:CM1_LOCK = CM1_DIR / ""CM1_PROSTATE_MRI_SCHEMA_LOCK.json"" || L43:EXPECTED_CM1_LOCK_SHA = ( ### L48:P12_ROOT = ROOT / ""data"" / ""extracted"" / ""PROMISE12"" || L49: || L50:DEFAULT_OUTPUT = ( || L51:OUT || L52:/ ""Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix2_v1"" ### L54: || L55:DECISION_PASS = ( || L56:""SOURCE_T2_SERIES_AND_SLICE_SAMPLE_UNIT_LOCKED_READY_FOR_CM2B_PREPROCESSING_LOCK"" || L57:) || L58: ### L152: || L153: || L154:def load_official_source_manifest(): || L155:print(""\n===== PROSTATE158 OFFICIAL CSV MANIFEST RESOLUTION ====="") || L156: ### L228:dup = out[out[""case_key""].duplicated(keep=False)] || L229:raise RuntimeError( || L230:""Official source manifest case IDs are not unique:\n"" || L231:+ dup.to_string(index=False) || L232:) ### L245: || L246: || L247:def verify_source_geometry_and_slices(nib, manifest: pd.DataFrame): || L248:print(""\n===== PROSTATE158 OFFICIAL IMAGE/LABEL GEOMETRY AUDIT ====="") || L249:"
code/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3.py,Prostate158,50,"L14:- t2_anatomy_reader1 || L15: || L16:Fix2 therefore resolves the SOURCE image/label pair from those official CSV || L17:manifests, then verifies file existence and exact image/label geometry. || L18: ### L37: || L38:ROOT = Path(r""F:\MEDSEG_SAFETTA\cross_modality_prostate_mri"") || L39:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L40: || L41:CM1_DIR = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" ### L39:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L40: || L41:CM1_DIR = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" || L42:CM1_LOCK = CM1_DIR / ""CM1_PROSTATE_MRI_SCHEMA_LOCK.json"" || L43:EXPECTED_CM1_LOCK_SHA = ( ### L48:P12_ROOT = ROOT / ""data"" / ""extracted"" / ""PROMISE12"" || L49: || L50:DEFAULT_OUTPUT = ( || L51:OUT || L52:/ ""Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3_v1"" ### L54: || L55:DECISION_PASS = ( || L56:""SOURCE_T2_SERIES_AND_SLICE_SAMPLE_UNIT_LOCKED_READY_FOR_CM2B_PREPROCESSING_LOCK"" || L57:) || L58: ### L152: || L153: || L154:def load_official_source_manifest(): || L155:print(""\n===== PROSTATE158 OFFICIAL CSV MANIFEST RESOLUTION ====="") || L156: ### L232:dup = out[out[""case_key""].duplicated(keep=False)] || L233:raise RuntimeError( || L234:""Official source manifest case IDs are not unique:\n"" || L235:+ dup.to_string(index=False) || L236:) ### L249: || L250: || L251:def verify_source_geometry_and_slices(nib, manifest: pd.DataFrame): || L252:print(""\n===== PROSTATE158 OFFICIAL IMAGE/LABEL GEOMETRY AUDIT ====="") || L253:"
code/Q1X_CM2A_prostate158_t2_geometry_resolver_and_slice_preflight_fix1.py,Prostate158,52,"L10:------- || L11:1) Gate the exact CM1 Fix3 lock. || L12:2) Resolve the exact Prostate158 SOURCE T2 volume for each of 139 cases using || L13:SOURCE annotation geometry only. || L14:3) Do NOT use filename heuristics to break ties. ### L11:1) Gate the exact CM1 Fix3 lock. || L12:2) Resolve the exact Prostate158 SOURCE T2 volume for each of 139 cases using || L13:SOURCE annotation geometry only. || L14:3) Do NOT use filename heuristics to break ties. || L15:4) Audit SOURCE slice counts / positive-slice distribution. ### L13:SOURCE annotation geometry only. || L14:3) Do NOT use filename heuristics to break ties. || L15:4) Audit SOURCE slice counts / positive-slice distribution. || L16:5) Build a PROMISE12 image-only axial-slice manifest from image MHD headers || L17:without opening reference-mask RAW payloads. ### L40: || L41:ROOT = Path(r""F:\MEDSEG_SAFETTA\cross_modality_prostate_mri"") || L42:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L43: || L44:CM1_DIR = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" ### L42:OUT = Path(r""F:\MEDSEG_SAFETTA\outputs"") || L43: || L44:CM1_DIR = OUT / ""Q1X_CM1_prostate_mri_schema_and_source_label_audit_fix3_v1"" || L45:CM1_LOCK = CM1_DIR / ""CM1_PROSTATE_MRI_SCHEMA_LOCK.json"" || L46:EXPECTED_CM1_LOCK_SHA = ( ### L51:P12_ROOT = ROOT / ""data"" / ""extracted"" / ""PROMISE12"" || L52: || L53:DEFAULT_OUTPUT = ( || L54:OUT || L55:/ ""Q1X_CM2A_prostate158_t2_geometry_resolver_and_slice_preflight_fix1_v1"" ### L57: || L58:DECISION_PASS = ( || L59:""SOURCE_T2_SERIES_AND_SLICE_SAMPLE_UNIT_LOCKED_READY_FOR_CM2B_PREPROCESSING_LOCK"" || L60:) || L61: ### L135: || L136: || L137:def resolve_source_t2(nib): || L138:print(""\n===== PROSTATE158 EXACT T2 GEOMETRY RESOLUTION ====="") || L139:"
code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py,Prostate158,92,"L3: || L4:"""""" || L5:Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py || L6: || L7:SafeTTA Q1 enhancement — CM3. ### L9:Scientific role || L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. ### L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. || L14: ### L20:This script: || L21:1) verifies the exact CM2B lock and all child artifacts; || L22:2) builds a SOURCE-only preprocessed memmap cache; || L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; ### L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. ### L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. || L28: ### L32:- fit the SafeTTA safety model; || L33:- tune on PROMISE12; || L34:- train final all-source external models. || L35: || L36:Resume behavior ### L36:Resume behavior || L37:--------------- || L38:The stage is resumable. Each fold writes a last-state checkpoint containing || L39:optimizer/scaler/RNG state. Existing completed folds are reused only after || L40:their completion metadata and best checkpoint are found."
code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2.py,Prostate158,93,"L3: || L4:"""""" || L5:Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py || L6: || L7:SafeTTA Q1 enhancement — CM3. ### L9:Scientific role || L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. ### L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. || L14: ### L20:This script: || L21:1) verifies the exact CM2B lock and all child artifacts; || L22:2) builds a SOURCE-only preprocessed memmap cache; || L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; ### L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. ### L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. || L28: ### L32:- fit the SafeTTA safety model; || L33:- tune on PROMISE12; || L34:- train final all-source external models. || L35: || L36:Resume behavior ### L36:Resume behavior || L37:--------------- || L38:The stage is resumable. Each fold writes a last-state checkpoint containing || L39:optimizer/scaler/RNG state. Existing completed folds are reused only after || L40:their completion metadata and best checkpoint are found."
code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py,Prostate158,116,"L3: || L4:"""""" || L5:Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py || L6: || L7:SafeTTA Q1 enhancement — CM3. ### L9:Scientific role || L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. ### L10:--------------- || L11:Train the frozen three-family SOURCE segmentation panel under the exact CM2B || L12:protocol and generate patient-separated 5-fold out-of-fold (OOF) SOURCE || L13:predictions for Prostate158. || L14: ### L20:This script: || L21:1) verifies the exact CM2B lock and all child artifacts; || L22:2) builds a SOURCE-only preprocessed memmap cache; || L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; ### L23:3) runs a batch-size-8 forward/backward preflight for all three families; || L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. ### L24:4) trains 5 patient-level folds per family; || L25:5) selects checkpoints by mean patient-level 3D whole-gland Dice; || L26:6) writes OOF probabilities and binary SOURCE masks for every SOURCE slice; || L27:7) writes fold/model metrics and a lineage lock. || L28: ### L32:- fit the SafeTTA safety model; || L33:- tune on PROMISE12; || L34:- train final all-source external models. || L35: || L36:Resume behavior ### L36:Resume behavior || L37:--------------- || L38:The stage is resumable. Each fold writes a last-state checkpoint containing || L39:optimizer/scaler/RNG state. Existing completed folds are reused only after || L40:their completion metadata and best checkpoint are found."
code/Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3.py,Prostate158,25,"L3: || L4:"""""" || L5:Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3.py || L6: || L7:Read-only CM4A replay audit. ### L42: || L43:ROOT = Path(r""F:\MEDSEG_SAFETTA"") || L44:OUT = ROOT / ""outputs"" || L45:CODE = ROOT / ""code"" || L46: ### L47:CM3_DIR = ( || L48:OUT || L49:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1"" || L50:) || L51:CM3_LOCK = CM3_DIR / ""CM3_SOURCE_OOF_SEGMENTATION_PANEL_LOCK.json"" ### L49:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1"" || L50:) || L51:CM3_LOCK = CM3_DIR / ""CM3_SOURCE_OOF_SEGMENTATION_PANEL_LOCK.json"" || L52:EXPECTED_CM3_LOCK_SHA = ( || L53:""4cfbe8f108f53e014973111d96244c666bfabd13eb022675fa31a34edaae7cec"" ### L56:CM3_HELPER = ( || L57:CODE || L58:/ ""Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py"" || L59:) || L60:EXPECTED_CM3_HELPER_SHA = ( ### L62:) || L63: || L64:DEFAULT_OUTPUT = ( || L65:OUT || L66:/ ""Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3_v1"" ### L64:DEFAULT_OUTPUT = ( || L65:OUT || L66:/ ""Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3_v1"" || L67:) || L68: ### L161: || L162:def main(): || L163:print(""===== Q1X CM4A FIX3 EXACT-BATCH SOURCE OOF REPLAY AUDIT ====="") || L164:print(""MODE=READ_ONLY_DIAGNOSTIC"") || L165:print(""REPLAY_BATCH_SIZE=8"")"
